variable,group,missing_n,missing_pct,n_unique,decision,reason
FWBscore,outcome,5,0.08,77,keep,outcome
SAVEHABIT,behavioral,20,0.31,6,keep,missing <= 15%
SCFHORIZON,behavioral,82,1.28,5,keep,missing <= 15%
PROPPLAN_1,behavioral,10,0.16,5,keep,missing <= 15%
PROPPLAN_2,behavioral,10,0.16,5,keep,missing <= 15%
PROPPLAN_3,behavioral,10,0.16,5,keep,missing <= 15%
PROPPLAN_4,behavioral,10,0.16,5,keep,missing <= 15%
MANAGE1_1,behavioral,12,0.19,5,keep,missing <= 15%
MANAGE1_2,behavioral,12,0.19,5,keep,missing <= 15%
MANAGE1_3,behavioral,11,0.17,5,keep,missing <= 15%
MANAGE1_4,behavioral,11,0.17,5,keep,missing <= 15%
ACT1_1,behavioral,24,0.38,5,keep,missing <= 15%
ACT1_2,behavioral,18,0.28,5,keep,missing <= 15%
FINGOALS,behavioral,76,1.19,2,keep,missing <= 15%
GOALCONF,behavioral,28,0.44,4,keep,missing <= 15%
DISTRESS,stress_hardship,49,0.77,5,keep,missing <= 15%
ABSORBSHOCK,stress_hardship,37,0.58,5,keep,missing <= 15%
VOLATILITY,stress_hardship,64,1.0,3,keep,missing <= 15%
ENDSMEET,stress_hardship,44,0.69,3,keep,missing <= 15%
COVERCOSTS,stress_hardship,58,0.91,4,keep,missing <= 15%
MATHARDSHIP_1,stress_hardship,27,0.42,3,keep,missing <= 15%
MATHARDSHIP_2,stress_hardship,27,0.42,3,keep,missing <= 15%
MATHARDSHIP_3,stress_hardship,26,0.41,3,keep,missing <= 15%
MATHARDSHIP_4,stress_hardship,27,0.42,3,keep,missing <= 15%
MATHARDSHIP_5,stress_hardship,25,0.39,3,keep,missing <= 15%
MATHARDSHIP_6,stress_hardship,28,0.44,3,keep,missing <= 15%
SHOCKS_1,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_2,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_3,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_4,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_5,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_6,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_7,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_8,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_9,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_10,major_life_events,0,0.0,2,keep,missing <= 15%
SHOCKS_11,major_life_events,0,0.0,2,keep,missing <= 15%
PAREDUC,family_social_background,49,0.77,5,keep,missing <= 15%
FINSOC2_1,family_social_background,21,0.33,2,keep,missing <= 15%
FINSOC2_2,family_social_background,19,0.3,2,keep,missing <= 15%
FINSOC2_3,family_social_background,22,0.34,2,keep,missing <= 15%
FINSOC2_4,family_social_background,19,0.3,2,keep,missing <= 15%
FINSOC2_5,family_social_background,21,0.33,2,keep,missing <= 15%
FINSOC2_6,family_social_background,22,0.34,2,keep,missing <= 15%
FINSOC2_7,family_social_background,22,0.34,2,keep,missing <= 15%
EARNERS,family_social_background,78,1.22,3,keep,missing <= 15%
PPHHSIZE,family_social_background,0,0.0,5,keep,missing <= 15%
LIVINGARRANGEMENT,family_social_background,31,0.48,5,keep,missing <= 15%
MATERIALISM_1,psychological_values,173,2.71,5,keep,missing <= 15%
MATERIALISM_2,psychological_values,166,2.6,5,keep,missing <= 15%
MATERIALISM_3,psychological_values,172,2.69,5,keep,missing <= 15%
CONNECT,psychological_values,476,7.44,72,keep,missing <= 15%
OUTLOOK_1,psychological_values,79,1.24,5,keep,missing <= 15%
OUTLOOK_2,psychological_values,83,1.3,5,keep,missing <= 15%
agecat,demographic_knowledge_controls,0,0.0,8,keep,missing <= 15%
PPINCIMP,demographic_knowledge_controls,0,0.0,9,keep,missing <= 15%
PPEDUC,demographic_knowledge_controls,0,0.0,5,keep,missing <= 15%
EMPLOY,demographic_knowledge_controls,116,1.81,8,keep,missing <= 15%
PPGENDER,demographic_knowledge_controls,0,0.0,2,keep,missing <= 15%
PPETHM,demographic_knowledge_controls,0,0.0,4,keep,missing <= 15%
LMscore,demographic_knowledge_controls,0,0.0,4,keep,missing <= 15%
KHscore,demographic_knowledge_controls,0,0.0,11,keep,missing <= 15%
FSscore,demographic_knowledge_controls,8,0.13,76,keep,missing <= 15%
finalwt,demographic_knowledge_controls,0,0.0,3120,keep,missing <= 15%
